CV_MUN,precio_mean,salario_mean,poblacion,nombre,confirmados_total,defunciones_total,ts_promedio_h,ts_promedio_r,Entidad,Nombre_ent,pob_porc_2015,pob_per_2015
01001,450371.7338,4.767034857,961977,Aguascalientes,2465,173,13.99894869,225.4731662,01,Aguascalientes,0.261,224949
01002,351536.1062,3.952248552,50864,Asientos,48,5,22.6093111,35.06081577,01,Aguascalientes,0.54,25169
01003,418039.3829,3.360099245,60760,Calvillo,84,1,17.55540926,58.42659645,01,Aguascalientes,0.568,29951
01004,368355.9243,3.782037286,16918,Cosio,49,0,20.68802459,45.31662529,01,Aguascalientes,0.432,6620
01005,672823.867,7.371576492,130184,Jesus Maria,104,2,16.38706241,114.8374608,01,Aguascalientes,0.25,31479
01006,388481.5995,4.334164422,50032,Pabellon de Arteaga,113,6,17.3222471,54.96482251,01,Aguascalientes,0.349,15972
01007,395431.2327,4.317898703,57981,Rincon de Romos,211,5,21.27133601,82.21083918,01,Aguascalientes,0.501,25483
01008,884000,1.725,9661,San Jose de Gracia,30,0,10.35089535,12.07604458,01,Aguascalientes,0.596,5228
01009,389269.6667,3.344751781,22743,Tepezala,83,1,15.38935057,19.78630787,01,Aguascalientes,0.507,10378
01010,453000,4.769737357,21947,El Llano,9,1,34.17323552,39.48907216,01,Aguascalientes,0.551,10988
01011,325699.2834,2.924758661,51568,San Francisco de los Romo,38,5,20.36146447,131.5415245,01,Aguascalientes,0.313,14138
02001,510347.6911,6.112116317,536143,Ensenada,1450,151,43.05443386,349.8444756,02,Baja California,0.335,190776
02002,443482.1575,5.457648694,1087478,Mexicali,6470,1126,15.755108,350.474523,02,Baja California,0.257,260649
02003,601324.0241,7.704384375,113857,Tecate,266,54,67.48230968,420.8495452,02,Baja California,0.266,29534
02004,488422.3257,5.715661733,1789531,Tijuana,3437,994,83.9977998,416.9993889,02,Baja California,0.295,499136
02005,571200.3304,6.011382972,107859,Playas de Rosarito,142,19,106.7752034,610.5192891,02,Baja California,0.378,41871
03001,375282.1132,4.306211374,83051,Comondu,226,19,15.85371238,86.89439822,03,Baja California Sur,0.388,31982
03002,509279.7829,8.067296224,67727,Mulege,390,7,24.11642821,37.65115833,03,Baja California Sur,0.278,18143
03003,484127.583,5.793966023,301961,La Paz,1264,57,37.42205119,201.6816741,03,Baja California Sur,0.243,71306
03008,642080.2803,6.799260103,330312,Los Cabos,848,32,37.28797823,128.1111999,03,Baja California Sur,0.276,84571
03009,504530.4502,7.006926071,21657,Loreto,145,2,20.00892706,43.86572471,03,Baja California Sur,0.413,9107
04001,544676.6261,6.312269274,63298,Calkini,107,11,8.425753315,8.162448524,04,Campeche,0.582,30907
04002,473155.831,5.830954292,317424,Campeche,1373,124,7.45585295,74.24349346,04,Campeche,0.312,88417
04003,721454.827,10.01280102,275478,Carmen,1194,144,13.85470588,53.36179296,04,Campeche,0.29,80303
04004,430433.9185,5.365150069,99945,Champoton,113,19,15.00825454,19.01045575,04,Campeche,0.573,51448
04005,478820.4801,5.794777248,34683,Hecelchakan,97,6,8.649770781,4.324885391,04,Campeche,0.56,16343
04006,432722,4.691151074,44051,Hopelchen,32,3,6.810288075,4.54019205,04,Campeche,0.69,23881
04007,477404.375,5.959375399,9868,Palizada,15,2,11.82272666,1.688960951,04,Campeche,0.604,5489
04008,408424.2593,3.38235358,11930,Tenabo,39,4,12.57334451,2.794076558,04,Campeche,0.551,6116
04009,448766.7347,5.606596975,63495,Escarcega,273,6,27.82371315,49.61020553,04,Campeche,0.591,36569
04010,345000,4.0225,31723,Calakmul,27,3,19.43910307,8.931479789,04,Campeche,0.743,16900
04011,595843.9394,7.082625083,48722,Candelaria,51,5,27.36614534,24.97160762,04,Campeche,0.676,27397
05001,462892.5926,7.220385769,1130,Abasolo,0,0,0,0,05,Coahuila,0.039,40
05002,349216.6236,3.600968624,163157,Acuña,847,44,9.397900999,6.231216967,05,Coahuila,0.252,37505
05003,341301.7976,3.644369668,24705,Allende,34,0,15.51642717,3.373136342,05,Coahuila,0.281,6413
05004,804359.0495,10.44171558,25477,Arteaga,15,0,38.5969044,39.25108922,05,Coahuila,0.41,9039
05005,358500,5.217643083,1945,Candela,0,0,17.13796058,0,05,Coahuila,0.141,244
05006,417868.8079,5.046282726,30568,Castaños,32,2,16.9022071,11.44988223,05,Coahuila,0.232,6743
05007,372959.5364,4.485099236,14623,Cuatro Cienegas,22,1,17.09635506,2.279514008,05,Coahuila,0.392,5552
05008,522745.5782,7.63246021,3353,Escobedo,2,0,14.91201909,4.970673029,05,Coahuila,0.548,1695
05009,341821.9072,2.83893137,64483,Francisco I. Madero,311,22,11.88943856,8.529379837,05,Coahuila,0.356,20818
05010,450974.073,5.575075141,87942,Frontera,164,13,7.201716283,14.21391372,05,Coahuila,0.184,15188
05011,439601.466,5.732506875,13501,General Cepeda,2,0,55.55144063,12.34476459,05,Coahuila,0.478,5285
05012,135000,6.938649281,1964,Guerrero,2,0,76.37474542,8.486082824,05,Coahuila,0.45,768
05013,362000,5.280368952,1888,Hidalgo,0,0,26.48305085,8.827683616,05,Coahuila,0.316,498
05014,419000,2.690797371,10994,Jimenez,3,2,12.1278273,1.515978412,05,Coahuila,0.447,4620
05015,360000,1.771982615,1722,Juarez,3,1,19.35733643,0,05,Coahuila,0.262,414
05016,416957.6764,6.762301043,1984,Lamadrid,0,0,0,0,05,Coahuila,0.143,254
05017,320361.4127,2.654603393,119492,Matamoros,276,22,16.17960477,7.252926277,05,Coahuila,0.357,38711
05018,472608.65,5.814687195,251346,Monclova,528,52,10.2779966,27.71743599,05,Coahuila,0.177,40683
